,Entities,Labels,Position_Start,Position_end
0,20,CARDINAL,34,36
1,matter hours,TIME,244,256
2,today,DATE,369,374
3,4th july,DATE,473,481
4,florida,GPE,567,574
5,70 million dollars,MONEY,640,658
6,1500,CARDINAL,684,688
7,2020,DATE,1001,1005
8,two,CARDINAL,1463,1466
9,today,DATE,1546,1551
10,North korea,GPE,1638,1649
11,30,CARDINAL,1730,1732
12,2016,DATE,1743,1747
13,81 million dollars,MONEY,1756,1774
14,805 million rupees,MONEY,1807,1825
15,pune,GPE,1850,1854
16,russian,NORP,1944,1951
17,2016,DATE,1979,1983
18,russian,NORP,2120,2127
19,america,GPE,2157,2164
20,Rustom,PERSON,2218,2224
21,april year,DATE,2312,2322
22,chinese,NORP,2339,2346
23,american,NORP,2404,2412
24,america,GPE,2651,2658
25,americans,NORP,2668,2677
26,washington,ORG,2715,2725
27,30%,PERCENT,3201,3204
28,iran,ORG,3214,3218
29,Israel,GPE,3304,3310
30,Tezu,GPE,3333,3337
31,Iran,GPE,3338,3342
32,One,CARDINAL,3677,3680
33,massachusetts,GPE,3690,3703
34,one,CARDINAL,3755,3758
35,america,GPE,3850,3857
36,american,NORP,3910,3918
37,elisa,PERSON,3919,3924
38,american,NORP,4016,4024
39,january 2020,DATE,4036,4048
40,qassem soleimani,PERSON,4068,4084
41,iran,NORP,4085,4089
42,today,DATE,4294,4299
43,america,GPE,4372,4379
44,america,GPE,4451,4458
45,America,GPE,4566,4573
46,Pawan,GPE,4642,4647
47,One,CARDINAL,4701,4704
48,2013,DATE,4791,4795
49,december 2015,DATE,4941,4954
50,first,ORDINAL,4971,4976
51,3,CARDINAL,5037,5038
52,200,CARDINAL,5071,5074
53,"30,000",CARDINAL,5075,5081
54,6 hours,TIME,5109,5116
55,2021,CARDINAL,5123,5127
56,america,GPE,5141,5148
57,five,CARDINAL,5184,5188
58,three days,DATE,5248,5258
59,three years,DATE,5309,5320
